Scientific name,Authority,Year,CommonName,TypeLoc
"Chimaera fulva Didier, Last & White, 2008 ","Didier, Last & White, 2008",2008,Southern Chimaera,"Victoria, Australia"
"Chimaera macrospina Didier, Last & White, 2008 ","Didier, Last & White, 2008",2008,Longspine Chimaera,"New South Wales, Australia"
"Chimaera obscura Didier, Last & White, 2008 ","Didier, Last & White, 2008",2008,Shortspine Chimaera,"New South Wales, Australia"
"Hydrolagus homonycteris  Didier, 2008","Didier, 2008",2008,Black Ghostshark,"Tasmania, Australia"
"Hydrolagus marmoratus  Didier, 2008","Didier, 2008",2008,Marbled Ghostshark,"New South Wales, Australia"
"Chlamydoselachus africana  Ebert & Compagno, 2009","Ebert & Compagno, 2009",2009,Southern African Frilled Shark,Namibia
"Hemitriakis indroyonoi White, Compagno & Dharmadi, 2009","White, Compagno & Dharmadi, 2009",2009,Indonesian Hound Shark,"Bali, Indonesia"
"Notoraja sapphira  S�ret & Last, 2009","S�ret & Last, 2009",2009,Sapphire Skate,Norfolk Ridge
"Hydrolagus melanophasma James, Ebert, Long & Didier, 2009","James, Ebert, Long & Didier, 2009",2009,Eastern Pacific Black Ghostshark,"Baja California, Mexico"
"Orectolobus leptolineatus  Last, Pogonoski & White, 2010","Last, Pogonoski & White, 2010",2010,Indonesian Wobbegong,"Bali, Indonesia"
Hemiscyllium michaeli  Allen & Dudgeon 2010,"Allen & Dudgeon, 2010",2010,Leopard Epaulette Shark ,"Harvey Bay, Papua New Guinea"
"Rhynchobatus springeri  Compagno & Last, 2010","Compagno & Last, 2010",2010,Broadnose Wedgefish,"Jakarta, Indonesia"
"Okamejei cairae  Last, Fahmi & Ishihara, 2010","Last, Fahmi & Ishihara, 2010",2010,Borneo Sand Skate,"Pontianak, Borneo, Indonesia"
"Orbiraja jensenae  (Last & Lim, 2010)","(Last & Lim, 2010)",2010,Sulu Ring Skate,"Dipolog, Philippines"
"Cruriraja hulleyi  Aschliman, Ebert & Compagno, 2010","Aschliman, Ebert & Compagno, 2010",2010,Hulley's Pygmy Skate,South Africa
"Neotrygon ningalooensis  Last, White & Puckridge, 2010","Last, White & Puckridge, 2010",2010,Ningaloo Maskray,"Ningaloo, Western Australia"
"Pastinachus gracilicaudus  Last & Manjaji-Matsumoto, 2010","Last & Manjaji-Matsumoto, 2010",2010,Narrow Cowtail Ray,"Kota Kinabalu, Sabah, Malaysia"
"Pastinachus stellurostris  Last, Fahmi & Naylor, 2010","Last, Fahmi & Naylor, 2010",2010,Starrynose Cowtail Ray,"Pemangkat, Borneo, Indonesia"
"Chimaera bahamaensis Kemper, Ebert, Didier & Compagno, 2010","Kemper, Ebert, Didier & Compagno, 2010",2010,Bahamas Ghost Shark,Bahamas
"Chimaera notafricana Kemper, Ebert, Compagno & Didier, 2010","Kemper, Ebert, Compagno & Didier, 2010",2010,Cape Chimaera,"Cape Aguhlas, South Africa"
"Squalus formosus  White & Iglesias, 2011","White & Iglesias, 2011",2011,Taiwan Spurdog,
"Etmopterus joungi  Knuckey, Ebert & Burgess, 2011","Knuckey, Ebert & Burgess, 2011",2011,Shortfin Smooth Lanternshark,Taiwan
"Etmopterus sculptus  Ebert, Compagno & De Vries, 2011","Ebert, Compagno & De Vries, 2011",2011,Sculpted Lanternshark,
"Etmopterus viator  Straube, 2011","Straube, 2011",2011,Traveller Lanternshark,Kerguelen Plateau
"Pristiophorus nancyae  Ebert & Cailliet, 2011","Ebert & Cailliet, 2011",2011,African Dwarf Sawshark,Mozambique
"Squatina caillieti  Walsh, Ebert & Compagno, 2011","Walsh, Ebert & Compagno, 2011",2011,Philippines Angelshark,"Luzon, Philippines"
