Scientific name,Authority,Year,CommonName,TypeLoc
"Chiloscyllium arabicum  Goubanov, 1980","Goubanov, 1980",1980,Arabian Carpet Shark,Persian Gulf
"Bathyraja irrasa  Hureau & Ozouf-Costaz, 1980","Hureau & Ozouf-Costaz, 1980",1980,Kerguelen Skate,Kerguelen Islands
"Gurgesiella dorsalifera  McEachran & Compagno, 1980","McEachran & Compagno, 1980",1980,Onefin Skate,SW Atlantic
"Hexatrygon bickelli Heemstra & Smith, 1980","Heemstra & Smith, 1980",1980,Sixgill Stingray,"Port Elizabeth, South Africa"
"Centrophorus isodon  (Chu, Meng & Liu, 1981)","(Chu, Meng & Liu, 1981)",1981,Blackfin Gulper Shark,South China Sea
"Apristurus sinensis Chu & Hu, 1981   ","Chu & Hu, 1981",1981,South China Catshark,South China Sea
"Bythaelurus immaculatus  (Chu & Meng, 1982)","(Chu & Meng, 1982)",1982,Spotless Catshark,South China Sea
"Carcharhinus wheeleri  Garrick, 1982","Garrick, 1982",1982,,Red Sea
"Pavoraja alleni  McEachran & Fechhelm, 1982","McEachran & Fechhelm, 1982",1982,Allen's Skate,"Western Australia, Australia"
"Okamejei heemstrai  (McEachran & Fechhelm, 1982)","(McEachran & Fechhelm, 1982)",1982,Narrow Skate,Kenya
"Sinobatis stenosoma  (Li & Hu, 1982)","(Li & Hu, 1982)",1982,Narrow Legskate,South China Sea
"Fluvitrygon signifer  (Compagno & Roberts, 1982)","(Compagno & Roberts, 1982)",1982,White-edge Whipray,"Kalimantan, Indonesia"
"Chiloscyllium burmense  Dingerkus & DeFino, 1983","Dingerkus & DeFino, 1983",1983,Burmese Bamboo Shark,"Rangoon, Burma"
"Megachasma pelagios  Taylor, Compagno & Struhsaker, 1983","Taylor, Compagno & Struhsaker, 1983",1983,Megamouth Shark,Hawaii
"Apristurus fedorovi  Dolganov, 1983","Dolganov, 1983",1983,Stout Catshark,Japan
"Apristurus pinguis  Deng, Xiong & Zhan, 1983","Deng, Xiong & Zhan, 1983",1983,Bulldog Catshark,East China Sea
"Bathyraja andriashevi  Dolganov, 1983","Dolganov, 1983",1983,Little-eye Skate,Japan
"Bathyraja bergi  Dolganov, 1983","Dolganov, 1983",1983,Bottom Skate,"Sakhalin Island, Russia"
"Bathyraja fedorovi  Dolganov, 1983","Dolganov, 1983",1983,Cinnamon Skate,western Pacific
"Bathyraja taranetzi  (Dolganov, 1983)","(Dolganov, 1983)",1983,Mud Skate,"Kuril Islands, NW Pacific"
"Bathyraja tzinovskii  Dolganov, 1983","Dolganov, 1983",1983,Creamback Skate,Japan
"Psammobatis lentiginosa  McEachran, 1983","McEachran, 1983",1983,Freckle Sandskate,Uruguay
"Psammobatis normani  McEachran, 1983","McEachran, 1983",1983,Shortfin Sandskate,SW Atlantic
"Psammobatis parvacauda  McEachran, 1983","McEachran, 1983",1983,Smalltail Sandskate,SW Atlantic
"Neoraja africana  (Stehmann & S�ret, 1983)","(Stehmann & S�ret, 1983)",1983,West African Dwarf Skate,Gabon
"Squalus acutirostris  Chu, Meng & Li, 1984","Chu, Meng & Li, 1984",1984,,China
"Scymnodon ichiharai  Yano & Tanaka, 1984","Yano & Tanaka, 1984",1984,Japanese Velvet Dogfish,"Suruga Bay, Japan"
"Mollisquama parini  Dolganov, 1984","Dolganov, 1984",1984,Pocket Shark,"Nazca Ridge, Eastern Pacific"
"Diplobatis colombiensis  Fechhelm & McEachran, 1984"," & McEachran, 1984",1984,Colombian Dwarf Numbfish,Colombia
"Bathyraja peruana  McEachran & Miyake, 1984","McEachran & Miyake, 1984",1984,Peruvian Skate,Peru
"Neoraja carolinensis  McEachran & Stehmann, 1984","McEachran & Stehmann, 1984",1984,Carolina Dwarf Skate,"North Carolina, USA"
"Fontitrygon margaritella  (Compagno & Roberts, 1984)","(Compagno & Roberts, 1984)",1984,Pearl Whipray,Cameroon
"Etmopterus carteri  Springer & Burgess, 1985","Springer & Burgess, 1985",1985,Cylindrical Lanternshark,Colombia
"Etmopterus perryi  Springer & Burgess, 1985","Springer & Burgess, 1985",1985,Dwarf Lanternshark,Colombia
"Oxynotus japonicus  Yano & Murofushi, 1985","Yano & Murofushi, 1985",1985,Japanese Roughshark,"Suruga Bay, Japan"
"Apristurus gibbosus  Meng, Chu & Li, 1985","Meng, Chu & Li, 1985",1985,Humpback Catshark,South China Sea
"Apristurus macrostomus  Chu, Meng & Li, 1985","Chu, Meng & Li, 1985",1985,Broadmouth Catshark,South China Sea
"Parmaturus macmillani  Hardy, 1985","Hardy, 1985",1985,New Zealand Filetail,New Zealand
"Paragaleus leucolomatus  Compagno & Smale, 1985","Compagno & Smale, 1985",1985,Whitetip Weasel Shark,"Natal, South Africa"
"Carcharhinus leiodon  Garrick, 1985","Garrick, 1985",1985,Smoothtooth Blacktip,Gulf of Aden
"Bathyraja papilionifera  Stehmann, 1985","Stehmann, 1985",1985,Atlantic Butterfly Skate,Argentina
"Bathyraja shuntovi  Dolganov, 1985","Dolganov, 1985",1985,Narrownose Skate,Lord Howe Ridge
"Breviraja claramaculata  McEachran & Matheson, 1985","McEachran & Matheson, 1985",1985,Brightspot Skate,"Florida, USA"
"Breviraja nigriventralis  McEachran & Matheson, 1985","McEachran & Matheson, 1985",1985,Blackbelly Skate,French Guinea
"Rajella kukujevi  (Dolganov, 1985)","(Dolganov, 1985)",1985,Mid-Atlantic Skate,NE Atlantic
"Squalus probatovi Myagkov & Kondyurin, 1986","Myagkov & Kondyurin, 1986",1986,,Angola
"Etmopterus schmidti  Dolganov, 1986","Dolganov, 1986",1986,,Japan
"Etmopterus sheikoi  (Dolganov, 1986)","(Dolganov, 1986)",1986,Rasptooth Dogfish,Kyushu-Palau Ridge
"Scymnodalatias albicauda  Taniuchi & Garrick, 1986","Taniuchi & Garrick, 1986",1986,Whitetail Dogfish,South Indian Ocean
"Apristurus micropterygeus  Meng, Chu & Li, 1986","Meng, Chu & Li, 1986",1986,Smalldorsal Catshark,South China Sea
"Bythaelurus clevai  (S�ret, 1987)","(S�ret, 1987)",1987,Broadhead Catshark,off Tulear
"Galeus longirostris  Tachikawa & Taniuchi, 1987","Tachikawa & Taniuchi, 1987",1987,Longnose Sawtail Catshark,Japan
"Rhinobatos punctifer  Compagno & Randall, 1987","Compagno & Randall, 1987",1987,Spotted Guitarfish,Red Sea
"Bathyraja meridionalis  Stehmann, 1987","Stehmann, 1987",1987,Darkbelly Skate,South Georgia Island
"Amblyraja taaf  (Meisner, 1987)","(Meisner, 1987)",1987,Whiteleg Skate,SW Indian Ocean
"Okamejei boesemani  (Ishihara, 1987)","(Ishihara, 1987)",1987,Black Sand Skate,East China Sea
"Hemitrygon laosensis  (Roberts & Karnasuta, 1987)","(Roberts & Karnasuta, 1987)",1987,Mekong Stingray,Thailand
"Neotrygon annotata  (Last, 1987)","(Last, 1987)",1987,Plain Maskray,"Western Australia, Australia"
"Neotrygon leylandi  (Last, 1987)","(Last, 1987)",1987,Painted Maskray,"Western Australia, Australia"
"Plesiotrygon iwamae  Rosa, Castello, & Thorson, 1987 ","Rosa, Castello,  & Thorson, 1987",1987,Antenna Ray,Brazil
"Trygonoptera ovalis  Last & Gomon, 1987","Last & Gomon, 1987",1987,Striped Stingaree,"Western Australia, Australia"
"Trygonoptera personata  Last & Gomon, 1987","Last & Gomon, 1987",1987,Masked Stingaree,"Western Australia, Australia"
"Urolophus flavomosaicus  Last & Gomon, 1987","Last & Gomon, 1987",1987,Patchwork Stingaree,"Western Australia, Australia"
"Urolophus mitosis  Last & Gomon, 1987","Last & Gomon, 1987",1987,Mitotic Stingaree,"Western Australia, Australia"
"Urolophus orarius  Last & Gomon, 1987","Last & Gomon, 1987",1987,Coastal Stingaree,"South Australia, Australia"
"Urolophus westraliensis  Last & Gomon, 1987","Last & Gomon, 1987",1987,Brown Stingaree,"Western Australia, Australia"
"Mobula munkiana  Notarbartolo-di-Sciara, 1987","Notarbartolo-di-Sciara, 1987",1987,Pygmy Devilray,"Baja California, Mexico"
"Etmopterus splendidus  Yano, 1988","Yano, 1988",1988,Splendid Lanternshark,Japan
"Scymnodalatias garricki Kukuyev & Konovalenko, 1988","Kukuyev & Konovalenko, 1988",1988,Azores Dogfish,North Atlantic Ridge
Scymnodalatias oligodon Kukuyev & Konovalenko 1988,Kukuyev & Konovalenko1988,1988,Sparsetooth Dogfish,Southeastern Pacific
"Apristurus internatus  Deng, Xiong & Zhan, 1988","Deng, Xiong & Zhan, 1988",1988,Shortnose Demon Catshark,East China Sea
"Scyliorhinus comoroensis  Compagno, 1988","Compagno, 1988",1988,Comoro Catshark,Comoro Islands
"Beringraja cortezensis  (McEachran & Miyake, 1988)","(McEachran & Miyake, 1988)",1988,Cortez Skate,"Gulf of California, Mexico"
"Hemitrygon izuensis  (Nishida & Nakaya, 1988)","(Nishida & Nakaya, 1988)",1988,Izu Stingray,Japan
"Telatrygon acutirostra  (Nishida & Nakaya, 1988)","(Nishida & Nakaya, 1988)",1988,Sharpnose Ray,East China Sea
"Urotrygon nana  Miyake & McEachran, 1988","Miyake & McEachran, 1988",1988,Dwarf Round Ray,"Chiapas, Mexico"
"Urotrygon reticulata  Miyake & McEachran, 1988","Miyake & McEachran, 1988",1988,Reticulate Round Ray,Pacific Panama
"Urotrygon simulatrix  Miyake & McEachran, 1988","Miyake & McEachran, 1988",1988,Fake Round Ray,Pacific Panama
"Heteronarce bentuviai (Baranes & Randall, 1989) ","(Baranes & Randall, 1989)",1989,Eilat Sleeper Ray,Israel
"Insentiraja subtilispinosa (Stehmann, 1989)","(Stehmann, 1989)",1989,Western Looseskin Skate,"Manila, Philippines"
"Dipturus crosnieri  (S�ret, 1989)","(S�ret, 1989)",1989,Madagascar Skate,Madagascar
"Fenestraja maceachrani  (S�ret, 1989)","(S�ret, 1989)",1989,Madagascar Pygmy Skate,Madagascar
"Centroscyllium excelsum  Shirai & Nakaya, 1990","Shirai & Nakaya, 1990",1990,Highfin Dogfish,Emperor Seamount Chain 
"Etmopterus compagnoi  Fricke & Koch, 1990","Fricke & Koch, 1990",1990,Brown Lanternshark,South Africa
"Etmopterus litvinovi  Parin & Kotlyar, 1990","Parin & Kotlyar, 1990",1990,Smalleye Lanternshark,SE Pacific
"Etmopterus pycnolepis  Kotlyar, 1990","Kotlyar, 1990",1990,Densescale Lanternshark,SE Pacific
"Trigonognathus kabeyai  Mochizuki & Ohe, 1990","Mochizuki & Ohe, 1990",1990,Viper Dogfish,Japan
"Aulohalaelurus kanakorum  S�ret, 1990","S�ret, 1990",1990,New Caledonia Catshark,New Caledonia
"Hydrolagus pallidus  Hardy & Stehmann, 1990","Hardy & Stehmann, 1990",1990,Pale Chimaera,eastern North Atlantic 
"Rhinochimaera africana Compagno, Stehmann & Ebert, 1990","Compagno, Stehmann & Ebert, 1990",1990,Spearnose Spookfish,South Africa
"Narcine rierai  (Lloris & Rucabado, 1991)","(Lloris & Rucabado, 1991)",1991,Mozambique Numbfish,Mozambique
"Squatina occulta Vooren & da Silva, 1992","Vooren & da Silva, 1992",1992,Hidden Angelshark,southern Brazil
"Insentiraja laxipella  Yearsley & Last, 1992","Yearsley & Last, 1992",1992,Eastern Looseskin Skate,"Queensland, Australia"
"Etmopterus bigelowi Shirai & Tachikawa, 1993","Shirai & Tachikawa, 1993",1993,Slender Lanternshark,Angola
"Galeus gracilis Compagno & Stevens, 1993 ","Compagno & Stevens, 1993",1993,Slender Sawtail Shark,"Northern Territory, Australia"
"Atelomycterus fasciatus Compagno & Stevens, 1993 ","Compagno & Stevens, 1993",1993,Banded Catshark,"Western Australia, Australia"
"Hemitriakis abdita Compagno & Stevens, 1993","Compagno & Stevens, 1993",1993,Darksnout Hound Shark,"Queensland, Australia"
"Hemitriakis falcata Compagno & Stevens, 1993","Compagno & Stevens, 1993",1993,Sicklefin Hound Shark,"Western Australia, Australia"
"Notoraja ochroderma  McEachran & Last, 1994","McEachran & Last, 1994",1994,Pale Skate,"Queensland, Australia"
"Acroteriobatus salalah  (Randall & Compagno, 1995)","(Randall & Compagno, 1995)",1995,Salalah Guitarfish,Oman
"Pseudobatos prahli  (Acero & Franke, 1995)",(Acero & Franke 1995),1995,Gorgona Guitarfish,Colombia
"Bathyraja hesperafricana  Stehmann, 1995","Stehmann, 1995",1995,West African Skate,Senegal
"Breviraja mouldi  McEachran & Matheson, 1995","McEachran & Matheson, 1995",1995,Mould's Skate,Hondurus
"Leucoraja compagnoi  (Stehmann, 1995)","(Stehmann, 1995)",1995,Tigertail Skate,South Africa
"Raja pita  Fricke & Al-Hassan, 1995","Fricke & Al-Hassan, 1995",1995,Pita Skate,"Persian Gulf, Iraq"
"Paragaleus randalli  Compagno, Krupp & Carpenter, 1996","Compagno, Krupp & Carpenter, 1996",1996,Slender Weasel Shark,Bahrain
"Neoharriotta pumila  Didier & Stehmann, 1996","Didier & Stehmann, 1996",1996,Arabian Sicklefin Chimaera,"Socotra Islands, near Yemen"
"Etmopterus robinsi  Schofield & Burgess, 1997","Schofield & Burgess, 1997",1997,West Indian Lanternshark,Bahamas
"Mustelus minicanis  Heemstra, 1997","Heemstra, 1997",1997,Venezuelan Dwarf Smoothhound,Venezuela and Aruba
"Mustelus sinusmexicanus  Heemstra, 1997","Heemstra, 1997",1997,Gulf Smoothhound,"Alabama, USA"
"Hongeo koreana (Jeong & Nakabo, 1997)","(Jeong & Nakabo, 1997)",1997,Korean Skate,Korea
"Apristurus aphyodes  Nakaya & Stehmann, 1998","Nakaya & Stehmann, 1998",1998,White Ghost Catshark,eastern North Atlantic
"Galeus springeri  Konstantinou & Cozzi, 1998","Konstantinou & Cozzi, 1998",1998,Springer's Sawtail Catshark,Lesser Antilles
"Urotrygon cimar  L�pez & Bussing, 1998","L�pez & Bussing, 1998",1998,Cimar Round Ray,Costa Rica
"Chimaera panthera  Didier, 1998","Didier, 1998",1998,Panther Chimaera,Lord Howe Rise
"Apristurus albisoma  Nakaya & S�ret, 1999","Nakaya & S�ret, 1999",1999,White-bodied Catshark,New Caledonia
"Apristurus exsanguis  Sato, Nakaya & Stewart, 1999","Sato, Nakaya & Stewart, 1999",1999,Flaccid Catshark,"East Chatham Rise, New Zealand"
"Asymbolus funebris Compagno, Stevens & Last, 1999","Compagno, Stevens & Last, 1999",1999,Blotched Catshark,"Western Australia, Australia"
"Asymbolus occiduus Last, Gomon & Gledhill, 1999","Last, Gomon & Gledhill, 1999",1999,Western Spotted Catshark,"Western Australia, Australia"
"Asymbolus pallidus Last, Gomon & Gledhill, 1999","Last, Gomon & Gledhill, 1999",1999,Pale Spotted Catshark,"Queensland, Australia"
"Asymbolus parvus Compagno, Stevens & Last, 1999","Compagno, Stevens & Last, 1999",1999,Dwarf Catshark,"Western Australia, Australia"
"Asymbolus rubiginosus Last, Gomon & Gledhill, 1999","Last, Gomon & Gledhill, 1999",1999,Orange Spotted Catshark,"Victoria, Australia"
"Asymbolus submaculatus Compagno, Stevens & Last, 1999","Compagno, Stevens & Last, 1999",1999,Variegated Catshark,"New South Wales, Australia"
"Rajella eisenhardti  Long & McCosker, 1999"," & McCosker, 1999",1999,Galapagos Skate,Galapagos Islands
"Hypanus marianae  (Gomes, Rosa & Gadig, 2000)","(Gomes, Rosa & Gadig, 2000)",2000,Large-eye Stingray,Brazil
"Galeus mincaronei  Soto, 2001","Soto, 2001",2001,Southern Sawtail Catshark,Brazil
"Schroederichthys saurisqualus  Soto, 2001","Soto, 2001",2001,Southern Sawtail,Brazil
"Benthobatis kreffti  Rincon, Stehmann & Vooren, 2001","Rincon, Stehmann & Vooren, 2001",2001,Krefft's Blind Numbfish,southern Brazil
"Narcine leoparda  de Carvalho, 2001","de Carvalho, 2001",2001,Leopard Numbfish,Columbia
"Dipturus mennii  Gomes & Parag�, 2001","Gomes & Parag�, 2001",2001,Menni's Skate,western Brazil
"Etmopterus caudistigmus  Last, Burgess & S�ret, 2002","Last, Burgess & S�ret, 2002",2002,Tailspot Lanternshark,New Caledonia
"Etmopterus dianthus Last, Burgess & S�ret, 2002","Last, Burgess & S�ret, 2002",2002,Pink Lanternshark,"Queensland, Australia"
"Etmopterus dislineatus Last, Burgess & S�ret, 2002","Last, Burgess & S�ret, 2002",2002,Lined Lanternshark,"Queensland, Australia"
"Etmopterus evansi Last, Burgess & S�ret, 2002","Last, Burgess & S�ret, 2002",2002,Blackmouth Lanternshark,"Western Australia, Australia"
"Etmopterus fusus Last, Burgess & S�ret, 2002","Last, Burgess & S�ret, 2002",2002,Pygmy Lanternshark,"Western Australia, Australia"
"Etmopterus pseudosqualiolus  Last, Burgess & S�ret, 2002","Last, Burgess & S�ret, 2002",2002,False Lanternshark,Norfolk Ridge
"Parascyllium sparsimaculatum  Goto & Last, 2002","Goto & Last, 2002",2002,Ginger Carpet Shark,"Western Australia, Australia"
"Narcine insolita  de Carvalho, S�ret & Compagno, 2002","de Carvalho, S�ret & Compagno, 2002",2002,Madagascar Numbfish ,Madagascar
"Narcine oculifera  de Carvalho, Compagno & Mee, 2002","de Carvalho, Compagno & Mee, 2002",2002,Bigeye Numbfish,Gulf of Oman
"Narcinops lasti  (de Carvalho & S�ret, 2002)","(de Carvalho & S�ret, 2002)",2002,West Australian Numbfish,"Western Australia, Australia"
"Torpedo adenensis  de Carvalho, Stehmann & Manilo, 2002","de Carvalho, Stehmann & Manilo, 2002",2002,Aden Torpedo,Gulf of Aden
"Chimaera lignaria Didier, 2002","Didier, 2002",2002,Giant Chimaera,"Chatham Rise, New Zealand"
"Hydrolagus bemisi  Didier, 2002","Didier, 2002",2002,Pale Ghostshark,New Zealand
"Hydrolagus trolli  Didier & S�ret, 2002","Didier & S�ret, 2002",2002,Pointy-nosed Blue Chimaera ,New Caledonia
"Squalus lalannei  Baranes, 2003","Baranes, 2003",2003,Seychelles Spurdog,Seychelles
"Centrophorus seychellorum  Baranes, 2003","Baranes, 2003",2003,Seychelles Gulper Shark,Seychelles
"Benthobatis yangi  de Carvalho, Compagno & Ebert, 2003","de Carvalho, Compagno & Ebert, 2003",2003,Yang's Blind Numbfish,Taiwan
"Narcine atzi  de Carvalho & Randall, 2003","de Carvalho & Randall, 2003",2003,Oman Numbfish,Gulf of Oman
"Urolophus deforgesi  S�ret & Last, 2003","S�ret & Last, 2003",2003,Chesterfield Stingaree ,Chesterfields Island
"Urolophus neocaledoniensis  S�ret & Last, 2003","S�ret & Last, 2003",2003,New Caledonian Stingaree,Chesterfields Island
"Urolophus papilio  S�ret & Last, 2003","S�ret & Last, 2003",2003,Butterfly Stingaree,Chesterfields Island
"Urolophus piperatus S�ret & Last, 2003","S�ret & Last, 2003",2003,Coral Sea Stingaree,"Queensland, Australia"
"Apristurus melanoasper  Igl�sias, Nakaya & Stehmann, 2004 ","Igl�sias, Nakaya & Stehmann, 2004",2004,Fleshynose Catshark,North Atlantic
"Proscyllium magnificum  Last & Vongpanich, 2004","Last & Vongpanich, 2004",2004,Magnificent Catshark,Myanmar
"Hemitriakis complicofasciata  Takahashi & Nakaya, 2004","Takahashi & Nakaya, 2004",2004,Ocellate Topeshark,Japan
"Rhinobatos nudidorsalis  Last, Compagno & Nakaya, 2004","Last, Compagno & Nakaya, 2004",2004,Bareback Guitarfish,"Mascarene Ridge, Indian Ocean"
"Rhinobatos sainsburyi Last, 2004 ","Last, 2004",2004,Goldeneye Guitarfish,"Western Australia, Australia"
"Aptychotrema timorensis  Last, 2004 ","Last, 2004",2004,Spotted Shovelnose Ray,"Northern Territory, Australia"
"Bathyraja cousseauae  Diaz de Astarloa & Mabragana, 2004","DiazdeAstarloa & Mabragana, 2004",2004,Cousseau's Skate,Patagonian continental shelf
"Bathyraja mariposa  Stevenson, Orr, Hoff & McEachran, 2004","Stevenson, Orr, Hoff & McEachran, 2004",2004,Pacific Butterfly Skate,Aleutian Islands
"Dasyatis hypostigma  Santos & Carvalho, 2004","Santos & Carvalho, 2004",2004,Groovebelly Stingray,Brazil
"Fontitrygon colarensis  (Santos, Gomes & Charvet-Almeida, 2004)","(Santos, Gomes & Charvet-Almeida, 2004)",2004,Colares Stingray,Brazil
"Hydrolagus matallanasi  Soto & Vooren, 2004","Soto & Vooren, 2004",2004,Striped Rabbitfish,Brazil
"Heterodontus omanensis  Baldwin, 2005","Baldwin, 2005",2005,Oman Bullhead Shark,Central Oman
"Atelomycterus baliensis  White, Last & Dharmadi, 2005","White, Last & Dharmadi, 2005",2005,Bali Catshark,"Bali, Indonesia"
"Cephaloscyllium sarawakensis  Yano, Ahmad & Gambang, 2005","Yano, Ahmad & Gambang, 2005",2005,Sarawak Pygmy Swellshark,"Sarawak, Borneo"
"Mustelus albipinnis  Castro-Aguirre, Atuna-Mendiola, Gonz�z-Acosta & De la Cruz-Ag�ero, 2005","Castro-Aguirre, Atuna-Mendiola, Gonz�z-Acosta & DelaCruz-Ag�ero, 2005",2005,White Margin Hound Shark,Mexico
"Hemigaleus australiensis  White, Last & Compagno, 2005","White, Last & Compagno, 2005",2005,Australian Weasel Shark,"Western Australia, Australia"
"Bathyraja ishiharai  Stehmann, 2005","Stehmann, 2005",2005,Abyssal Skate,off southwestern Australia
"Bathyraja tunae Stehmann, 2005","Stehmann, 2005",2005,Cristina's Skate,??
"Malacoraja obscura  Carvalho, Gomes & Gadig, 2005","Carvalho, Gomes & Gadig, 2005",2005,Brazilian Soft Skate,Brazil
"Fluvitrygon kittipongi  (Vidthayanon & Roberts, 2006)","(Vidthayanon & Roberts, 2005)",2005,Roughback Whipray,Thailand
"Pastinachus solocirostris  Last, Manjaji & Yearsley, 2005","Last, Manjaji-Matsumoto & Yearsley, 2005",2005,Roughnose Cowtail Ray,"Sarawak, Borneo"
"Hydrolagus lusitanicus  Moura, Figuerido, Bordalo-Machado, Almeida & Gordo, 2005","Moura, Figuerido, Bordalo-Machado, Almeida & Gordo, 2005",2005,Portuguese Rabbitfish,Portugal
"Etmopterus burgessi  Schaaf-Da Silva & Ebert, 2006","Schaaf-DaSilva & Ebert, 2006",2006,Broad-Snout Lanternshark,Taiwan
"Orectolobus hutchinsi  Last, Chidlow & Compagno, 2006","Last, Chidlow & Compagno, 2006",2006,Western Wobbegong,"Rottnest Island, Western Australia"
"Haploblepharus kistnasamyi  Human & Compagno, 2006","Human & Compagno, 2006",2006,Eastern Shyshark,"Natal, South Africa"
"Holohalaelurus favus  Human, 2006","Human, 2006",2006,Honeycomb Izak,"Natal, South Africa"
"Holohalaelurus grennian  Human, 2006","Human, 2006",2006,East African Spotted Izak,Kenya
"Mustelus ravidus  White & Last, 2006","White & Last, 2006",2006,Grey Gummy Shark,"Western Australia, Australia"
